fips,county,state,state_abbr,location,total_population,poverty_rate,unemployment_rate,no_hs_diploma_rate,uninsured_rate,seniors_pct,youth_pct,disability_rate,single_parent_pct,svi_percentile,hospital_count,state_population,hospitals_per_100k,vulnerability_score,risk_category,access_category,priority_score,priority_level
1001020100,Autauga County,Alabama,AL,Census Tract 201; Autauga County; Alabama,1865,21.6,2.6,16.2,8.2,19.5,24.0,20.1,4.9,0.3635,0.0,5028092,0.0,26.64,Low Risk,Adequate Access,1,Low Priority
1001020200,Autauga County,Alabama,AL,Census Tract 202; Autauga County; Alabama,1861,14.3,5.5,8.7,7.8,15.7,9.9,20.4,0.7,0.4155,0.0,5028092,0.0,22.66,Low Risk,Adequate Access,1,Low Priority
1001020300,Autauga County,Alabama,AL,Census Tract 203; Autauga County; Alabama,3492,22.2,1.9,10.6,5.1,13.5,26.2,16.0,8.5,0.4843,0.0,5028092,0.0,22.04,Low Risk,Adequate Access,1,Low Priority
1001020400,Autauga County,Alabama,AL,Census Tract 204; Autauga County; Alabama,3987,12.9,0.9,7.3,4.4,26.0,14.6,22.3,3.7,0.2386,0.0,5028092,0.0,23.48,Low Risk,Adequate Access,1,Low Priority
1001020501,Autauga County,Alabama,AL,Census Tract 205.01; Autauga County; Alabama,4121,10.0,0.6,7.6,6.2,13.4,18.1,17.7,4.0,0.2059,0.0,5028092,0.0,17.11,Low Risk,Adequate Access,1,Low Priority
1001020502,Autauga County,Alabama,AL,Census Tract 205.02; Autauga County; Alabama,3256,13.1,5.6,5.0,0.0,13.4,30.2,11.4,6.8,0.2459,0.0,5028092,0.0,15.35,Low Risk,Adequate Access,1,Low Priority
1001020503,Autauga County,Alabama,AL,Census Tract 205.03; Autauga County; Alabama,3513,15.7,3.5,5.7,4.1,13.5,19.7,13.1,2.5,0.1694,0.0,5028092,0.0,18.31,Low Risk,Adequate Access,1,Low Priority
1001020600,Autauga County,Alabama,AL,Census Tract 206; Autauga County; Alabama,3839,28.1,3.2,16.5,11.3,17.1,29.7,16.1,2.5,0.4095,0.0,5028092,0.0,29.18,Low Risk,Adequate Access,1,Low Priority
1001020700,Autauga County,Alabama,AL,Census Tract 207; Autauga County; Alabama,3369,37.1,1.2,10.3,7.0,10.8,26.7,16.7,6.5,0.644,0.0,5028092,0.0,28.65,Low Risk,Adequate Access,1,Low Priority
1001020801,Autauga County,Alabama,AL,Census Tract 208.01; Autauga County; Alabama,3166,12.3,3.1,7.8,7.3,20.5,20.8,15.2,5.5,0.2239,0.0,5028092,0.0,21.2,Low Risk,Adequate Access,1,Low Priority
1001020803,Autauga County,Alabama,AL,Census Tract 208.03; Autauga County; Alabama,4543,27.8,2.2,11.0,13.8,20.0,21.3,24.7,0.0,0.5056,0.0,5028092,0.0,33.28,Moderate Risk,Adequate Access,2,Low Priority
