provider_id,facility_name,address,city,state,zip_code,area_type,total_beneficiaries,total_discharges
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,36301,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3088,4059
10005,Marshall Medical Centers South Campus,2505 U S Highway 431 North,Boaz,AL,35957,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1123,1410
10006,North Alabama Medical Center,1701 Veterans Drive,Florence,AL,35630,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2634,3621
10007,Mizell Memorial Hospital,702 N Main St,Opp,AL,36467,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",252,353
10008,Crenshaw Community Hospital,101 Hospital Circle,Luverne,AL,36049,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",89,123
10011,St Vincent's East,50 Medical Park East Drive,Birmingham,AL,35235,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1943,2609
10012,Dekalb Regional Medical Center,200 Med Center Drive,Fort Payne,AL,35968,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",454,571
10016,Shelby Baptist Medical Center,1000 First Street North,Alabaster,AL,35007,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1143,1504
10018,Uab Callahan Eye Hospital Authority,1720 University Blvd Ste 305,Birmingham,AL,35233,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,11
10019,Helen Keller Memorial Hospital,1300 South Montgomery Avenue,Sheffield,AL,35660,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1152,1535
10021,Dale Medical Center,126 Hospital Ave,Ozark,AL,36360,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",159,197
10022,Floyd Cherokee Medical Center,400 Northwood Dr,Centre,AL,35960,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",111,143
10023,Baptist Medical Center South,2105 East South Boulevard,Montgomery,AL,36116,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1964,2545
10024,Jackson Hospital & Clinic Inc,1725 Pine Street,Montgomery,AL,36106,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1898,2555
10029,East Alabama Medical Center,2000 Pepperell Parkway,Opelika,AL,36801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1970,2563
10033,University Of Alabama Hospital,619 South 19th Street,Birmingham,AL,35233,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7028,9350
10034,Community Hospital Inc,805 Friendship Road,Tallassee,AL,36078,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",83,107
10035,Cullman Regional Medical Center,1912 Alabama Highway 157,Cullman,AL,35058,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1740,2495
10036,Andalusia Health,849 South Three Notch Street,Andalusia,AL,36420,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",509,690
